Net generation Colorado all industrial monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=0000000000g&sec=02&linechart=ELEC.GEN.ALL-CO-97.M~ELEC.GEN.AOR-CO-97.M~ELEC.GEN.TSN-CO-97.M~~~~~~~&columnchart=ELEC.GEN.ALL-CO-97.M&map=ELEC.GEN.ALL-CO-97.M&freq=M&start=200101&end=202302&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
17:21:02 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,all fuels (utility-scale) thousand megawatthours,other renewables thousand megawatthours,all solar thousand megawatthours
Jul 2011,5.82615,0.17099,
Jun 2011,4.77179,0.23166,
May 2011,4.92295,0.28823,
Apr 2011,4.85567,0.25761,
Mar 2011,5.54326,0.21591,
Feb 2011,5.01908,0.21651,
Jan 2011,5.11961,0.23884,
Dec 2010,5.89519,0,
Nov 2010,5.08874,0,
Oct 2010,5.90387,0,
Sep 2010,5.74514,0,
Aug 2010,5.88387,0,
Jul 2010,6.0671,0,
Jun 2010,5.57379,0,
May 2010,3.55907,0,
Apr 2010,4.40363,0,
Mar 2010,3.90169,0,
Feb 2010,4.18186,0,
Jan 2010,4.38407,0,
Dec 2009,4.31158,,
Nov 2009,3.42451,,
Oct 2009,3.2842,,
Sep 2009,4.44707,,
Aug 2009,5.18744,,
Jul 2009,4.66853,,
Jun 2009,4.19139,,
May 2009,3.27863,,
Apr 2009,4.34074,,
Mar 2009,4.2962,,
Feb 2009,4.24325,,
Jan 2009,4.36937,,
Dec 2008,4.50718,,
Nov 2008,3.97069,,
Oct 2008,4.99736,,
Sep 2008,4.20803,,
Aug 2008,4.40395,,
Jul 2008,4.68847,,
Jun 2008,4.67939,,
May 2008,3.64786,,
Apr 2008,4.5214,,
Mar 2008,5.19022,,
Feb 2008,4.53053,,
Jan 2008,2.64888,,
Dec 2007,5.55804,,
Nov 2007,5.02401,,
Oct 2007,5.68157,,
Sep 2007,5.77729,,
Aug 2007,5.87766,,
Jul 2007,5.98269,,
Jun 2007,5.69805,,
May 2007,5.24596,,
Apr 2007,4.7624,,
Mar 2007,4.75238,,
Feb 2007,4.54717,,
Jan 2007,5.28152,,
Dec 2006,6.53913,,
Nov 2006,6.40357,,
Oct 2006,6.88521,,
Sep 2006,6.43663,,
Aug 2006,6.99505,,
Jul 2006,7.08314,,
Jun 2006,6.23575,,
May 2006,6.75133,,
Apr 2006,6.08887,,
Mar 2006,6.6379,,
Feb 2006,5.5268,,
Jan 2006,6.10753,,
Dec 2005,5.33827,,
Nov 2005,4.67837,,
Oct 2005,5.24336,,
Sep 2005,6.7556,,
Aug 2005,8.95706,,
Jul 2005,8.64301,,
Jun 2005,6.74925,,
May 2005,5.25472,,
Apr 2005,4.78441,,
Mar 2005,4.76161,,
Feb 2005,4.41207,,
Jan 2005,4.88896,,
Dec 2004,4.86125,,
Nov 2004,7.07306,,
Oct 2004,4.07307,,
Sep 2004,3.81016,,
Aug 2004,5.44932,,
Jul 2004,9.14554,,
Jun 2004,2.08267,,
May 2004,3.42125,,
Apr 2004,5.42046,,
Mar 2004,2.76929,,
Feb 2004,4.84005,,
Jan 2004,5.65144,,
Dec 2003,7.182,,
Nov 2003,6.604,,
Oct 2003,6.344,,
Sep 2003,6.487,,
Aug 2003,8.081,,
Jul 2003,7.987,,
Jun 2003,6.418,,
May 2003,6.436,,
Apr 2003,5.94,,
Mar 2003,6.335,,
Feb 2003,6.175,,
Jan 2003,6.977,,
Dec 2002,5.437,,
Nov 2002,5.423,,
Oct 2002,6.095,,
Sep 2002,6.023,,
Aug 2002,6.24,,
Jul 2002,7.221,,
Jun 2002,6.485,,
May 2002,5.601,,
Apr 2002,6.027,,
Mar 2002,6.668,,
Feb 2002,5.415,,
Jan 2002,53.924,,
Dec 2001,6.325,,
Nov 2001,5.805,,
Oct 2001,7.393,,
Sep 2001,6.943,,
Aug 2001,8.771,,
Jul 2001,8.027,,
Jun 2001,6.771,,
May 2001,6.528,,
Apr 2001,6.174,,
Mar 2001,6.853,,
Feb 2001,5.913,,
Jan 2001,6.284,,
